اسم اللاعب;العمر;المركز;عدد التمريرات;دقة التمريرات (%);عدد التسديدات;عدد الأهداف;نسبة النجاح في المواجهات (%);السرعة القصوى (كم/س);المسافة المقطوعة (كم);معدل نبض القلب;نسبة التعب في نهاية الشوط;التقييم العام;تصنيف اللاعب
راكان العنزي;22;دفاع;78;94.96;3;1;72.39;32.43;7.56;176;23.00;54.26;موهوب
تركي الزهراني;24;وسط;16;88.09;4;0;51.83;29.68;10.54;175;17.48;43.62;غير موهوب
خالد الغامدي;16;دفاع;29;80.82;2;0;67.19;26.45;8.61;180;34.86;47.66;موهوب
عبدالله الغامدي;17;دفاع;56;82.80;0;0;57.58;32.97;10.68;175;35.63;50.07;موهوب
عبدالله الغامدي;19;حارس;23;85.92;5;3;76.21;25.74;10.54;161;13.77;44.91;غير موهوب
سالم الحربي;29;وسط;71;87.50;9;0;57.95;25.67;11.13;127;22.95;45.80;موهوب
تركي الزهراني;26;دفاع;56;68.59;3;4;78.72;28.03;8.27;148;9.96;44.95;غير موهوب
فهد الغامدي;24;هجوم;46;73.84;0;1;52.47;29.19;10.34;123;28.03;40.43;غير موهوب
سعود العنزي;20;وسط;32;89.63;9;2;45.54;29.44;10.76;169;18.65;45.11;موهوب
محمد العنزي;29;هجوم;36;86.51;11;0;53.72;27.12;9.13;130;39.96;43.72;غير موهوب
محمد المالكي;16;هجوم;15;86.65;4;2;58.72;29.17;10.50;135;34.85;41.77;غير موهوب
تركي القحطاني;25;دفاع;42;89.66;4;0;64;25.18;6.54;170;17.88;46.58;موهوب
فهد البلوي;21;وسط;46;64.01;0;2;68.86;30.67;9.62;153;46.30;46.72;موهوب
ناصر الحربي;27;وسط;56;63.60;5;3;83.48;25.01;7.69;171;11.71;47.39;موهوب
عبدالله الشمري;20;هجوم;73;74.42;9;2;51.57;30.66;9.46;157;48.86;50.66;موهوب
راكان البلوي;23;دفاع;55;60.91;5;1;41.86;30.53;10.98;134;13.81;39.23;غير موهوب
خالد الغامدي;23;هجوم;47;86.19;9;5;43.7;25.29;7.13;139;48.08;45.60;موهوب
ناصر الغامدي;27;دفاع;62;87.79;1;0;52.69;28.71;7.89;128;35.63;44.86;غير موهوب
خالد القحطاني;30;هجوم;32;62.55;6;3;65.26;33.79;9.80;150;14.54;41.88;غير موهوب
تركي الزهراني;19;هجوم;41;90.93;2;1;59.35;25.66;11.17;151;17.87;44.44;غير موهوب
عبدالله الزهراني;29;حارس;85;79.61;5;2;67.53;26.29;9.04;179;11.99;51.72;موهوب
سالم الشمري;18;دفاع;86;63.23;8;3;56.58;27.24;7.22;137;32.01;46.70;موهوب
تركي الغامدي;23;دفاع;32;81.60;0;0;89.53;33.58;8.73;156;23.42;47.21;موهوب
راكان العتيبي;20;حارس;40;71.04;1;0;83.66;32.25;9.03;177;22.89;48.54;موهوب
أحمد المالكي;20;حارس;30;61.66;10;4;78.45;25.50;6.36;177;11.53;44.94;غير موهوب
ناصر الغامدي;23;وسط;65;92.10;0;1;86.04;31.30;5.91;172;46.21;55.51;موهوب
عبدالله الشمري;24;هجوم;34;71.45;9;0;60.59;28.40;7.93;126;48.16;42.84;غير موهوب
محمد الغامدي;22;حارس;48;73.57;10;5;59.8;31.07;7.45;123;41.44;44.37;غير موهوب
سعود الرويلي;18;حارس;34;83.30;6;3;40.69;27.77;9.71;130;30.51;40.55;غير موهوب
محمد الغامدي;26;حارس;29;67.95;5;3;51.54;24.61;8.84;161;44.57;43.94;غير موهوب
أحمد المالكي;24;دفاع;46;60.11;0;1;68.85;25.88;7.62;173;23.94;45.16;موهوب
تركي القحطاني;26;دفاع;40;76.64;2;2;47.92;24.92;10.92;165;22.51;43.55;غير موهوب
تركي المالكي;21;هجوم;51;84.88;2;0;75.19;30.72;6.15;163;19.76;48.08;موهوب
عبدالله العتيبي;22;حارس;27;88.19;10;0;57.78;27.54;8.66;126;23.25;40.94;غير موهوب
تركي القحطاني;20;دفاع;48;77.72;2;4;44.63;33.64;11.81;166;35.40;47.02;موهوب
راكان الرويلي;20;هجوم;55;64.50;6;3;49.01;30.26;7.73;161;40.60;46.34;موهوب
راكان الزهراني;19;وسط;27;66.36;7;0;74.2;28.86;10.42;163;45.00;46.87;موهوب
سالم القحطاني;23;هجوم;64;72.76;7;3;63.52;27.67;10.17;144;30.99;47.01;موهوب
ناصر القحطاني;24;دفاع;14;83.12;0;1;76.46;26.85;6.58;175;44.36;47.48;موهوب
أحمد البلوي;19;حارس;72;92.58;10;2;89.64;26.53;7.17;147;27.02;52.66;موهوب
ناصر البلوي;21;دفاع;46;92.32;6;5;54.65;24.06;6.14;155;20.19;45.48;موهوب
أحمد العنزي;25;هجوم;83;71.10;7;2;78.42;32.75;10.53;175;17.88;53.08;موهوب
عبدالله البلوي;26;وسط;46;81.90;0;0;89.43;30.02;8.13;123;24.98;44.83;غير موهوب
عبدالله المالكي;26;دفاع;77;88.02;3;0;47.03;30.30;10.15;160;20.31;48.42;موهوب
عبدالله العتيبي;20;هجوم;18;61.05;7;4;43.47;27.62;8.89;148;19.96;37.55;غير موهوب
سعود البلوي;22;هجوم;83;83.89;3;4;55;31.25;10.20;162;29.04;51.26;موهوب
عبدالله الحربي;22;حارس;31;77.92;3;0;54.33;29.04;7.46;130;31.95;40.52;غير موهوب
فهد الزهراني;23;دفاع;27;82.29;9;5;63.95;26.09;10.71;125;8.73;39.75;غير موهوب
خالد الحربي;23;وسط;49;75.34;3;1;42.36;30.09;10.79;151;40.30;44.76;غير موهوب
سعود العنزي;21;وسط;70;67.96;1;1;88.09;31.29;8.03;168;39.69;52.78;موهوب
خالد العنزي;25;هجوم;84;80.87;8;3;70.25;32.77;10.54;148;28.11;51.73;موهوب
ناصر القحطاني;23;دفاع;30;73.49;6;3;44.09;26.64;6.47;130;28.68;38.71;غير موهوب
خالد الغامدي;24;هجوم;7;80.53;5;4;69.23;24.52;8.87;150;29.47;42.07;غير موهوب
فهد القحطاني;22;وسط;66;79.82;9;4;56.15;24.02;9.96;165;40.79;50.53;موهوب
أحمد البلوي;27;دفاع;87;68.97;7;4;88.39;27.65;8.84;171;21.57;53.82;موهوب
سعود الحربي;22;هجوم;54;88.05;7;4;83.95;30.30;6.83;172;26.73;52.54;موهوب
تركي العنزي;20;حارس;9;64.56;2;1;60.39;29.51;9.44;162;31.00;40.99;غير موهوب
عبدالله العنزي;19;وسط;29;92.63;3;1;75.72;31.51;8.20;141;23.73;45.09;موهوب
خالد الحربي;17;حارس;25;64.44;12;5;76.27;25.05;8.06;168;12.48;44.03;غير موهوب
عبدالله العتيبي;25;حارس;27;68.79;1;0;55.62;32.10;10.45;142;37.56;41.61;غير موهوب
عبدالله الحربي;27;حارس;48;89.94;0;1;59.85;26.62;9.55;133;39.91;45.32;موهوب
محمد الرويلي;26;دفاع;61;92.12;2;0;59;32.01;9.06;120;39.33;46.06;موهوب
سعود الرويلي;25;هجوم;66;89.40;6;3;73.4;23.72;10.29;162;32.46;51.81;موهوب
خالد العتيبي;22;دفاع;40;88.30;3;6;86.16;27.40;6.32;167;42.02;51.80;موهوب
خالد البلوي;22;هجوم;74;62.67;0;1;73.39;27.22;9.96;148;21.27;46.39;موهوب
سالم القحطاني;24;هجوم;36;82.84;4;3;46.72;30.84;7.54;184;24.47;46.60;موهوب
ناصر الحربي;28;هجوم;79;69.75;1;2;51.69;27.67;8.20;151;12.65;44.77;غير موهوب
خالد الغامدي;16;هجوم;16;93.92;3;3;48.68;27.79;10.36;169;32.28;44.89;غير موهوب
خالد الزهراني;22;هجوم;20;62.24;7;3;79.16;32.54;10.01;141;48.95;44.88;غير موهوب
خالد القحطاني;24;حارس;43;93.49;6;1;85.67;28.46;7.55;181;36.29;53.61;موهوب
أحمد العتيبي;24;دفاع;63;93.04;7;2;53.7;24.65;9.39;155;34.89;49.19;موهوب
عبدالله الحربي;28;هجوم;55;94.85;10;0;80.5;26.32;8.40;171;48.92;55.00;موهوب
تركي العتيبي;29;هجوم;34;74.53;0;1;82.63;30.77;9.43;146;17.49;43.98;غير موهوب
عبدالله القحطاني;19;وسط;20;76.42;8;3;73.46;30.49;9.34;145;26.30;43.56;غير موهوب
فهد الشمري;27;وسط;50;81.21;9;1;58.25;23.50;6.34;148;31.76;45.45;موهوب
تركي الشمري;23;دفاع;83;67.21;4;2;49.61;27.67;11.28;151;22.89;46.52;موهوب
محمد البلوي;21;وسط;58;74.76;10;5;54.23;26.55;9.33;154;29.08;46.77;موهوب
عبدالله العنزي;28;دفاع;62;89.35;2;0;51.19;30.75;10.06;131;28.56;44.99;غير موهوب
ناصر الزهراني;17;وسط;26;65.29;1;0;79.93;26.17;9.40;150;48.65;45.16;موهوب
محمد الزهراني;18;حارس;81;69.39;6;3;62.7;32.65;6.82;118;37.07;46.29;موهوب
محمد الشمري;24;دفاع;29;84.93;8;4;61.11;30.39;7.27;158;41.97;47.19;موهوب
ناصر العتيبي;23;حارس;62;92.56;2;0;85.99;33.01;7.63;130;41.24;50.49;موهوب
سعود الرويلي;18;هجوم;67;82.39;8;4;70.37;28.68;7.71;149;39.60;50.75;موهوب
خالد الشمري;26;دفاع;91;80.32;1;0;74.96;33.79;7.09;125;46.04;51.02;موهوب
راكان العنزي;20;حارس;70;61.43;11;4;41.19;27.97;7.75;163;38.93;47.25;موهوب
أحمد القحطاني;23;دفاع;30;74.48;4;3;86.43;30.81;5.76;139;26.72;44.47;غير موهوب
خالد الرويلي;23;دفاع;87;83.98;6;1;58.42;25.63;10.21;150;39.06;51.26;موهوب
عبدالله الزهراني;27;هجوم;71;65.07;5;2;82.03;27.23;9.59;117;29.47;45.38;موهوب
محمد البلوي;29;دفاع;66;63.04;8;5;75.15;31.74;7.85;130;49.86;48.52;موهوب
أحمد القحطاني;18;حارس;24;62.44;3;2;48.81;25.34;7.55;173;35.95;42.45;غير موهوب
سالم المالكي;21;وسط;63;89.52;3;2;70.09;32.58;10.52;124;50.37;49.45;موهوب
تركي الحربي;18;هجوم;64;86.52;7;0;69.6;27.84;9.58;184;10.76;51.03;موهوب
خالد المالكي;23;هجوم;68;83.00;8;5;61.25;29.43;7.97;166;23.83;50.28;موهوب
أحمد القحطاني;19;دفاع;28;76.38;8;0;68.89;31.37;6.69;178;37.20;48.28;موهوب
محمد المالكي;23;هجوم;71;83.76;8;2;52.69;34.26;6.62;163;48.65;52.22;موهوب
عبدالله الرويلي;21;هجوم;63;64.45;2;1;56.91;31.09;7.69;150;41.00;46.35;موهوب
عبدالله الغامدي;18;حارس;14;87.29;3;0;86.93;30.60;7.41;182;38.35;49.95;موهوب
راكان العنزي;24;دفاع;77;79.36;0;0;63.24;32.87;7.25;135;49.42;49.35;موهوب
فهد العنزي;17;دفاع;12;67.85;0;1;53.28;28.67;6.38;125;49.72;38.21;غير موهوب
خالد العتيبي;24;حارس;78;81.82;9;6;76.66;30.74;9.93;134;23.08;49.91;موهوب
تركي العتيبي;28;حارس;59;79.56;9;2;45.88;25.44;10.67;128;42.33;44.65;غير موهوب
محمد البلوي;27;وسط;52;76.63;6;3;86.97;25.82;7.93;138;18.70;46.12;موهوب
محمد الرويلي;19;حارس;8;60.36;3;1;49.81;34.85;10.44;161;22.77;39.03;غير موهوب
تركي الشمري;24;دفاع;62;62.44;7;4;53.32;24.28;10.67;161;23.50;45.36;موهوب
محمد البلوي;25;دفاع;60;81.87;9;2;48.76;29.19;11.44;162;37.43;49.08;موهوب
راكان البلوي;25;حارس;74;79.68;10;5;42.31;33.72;8.99;160;46.51;51.13;موهوب
ناصر المالكي;20;دفاع;46;63.70;3;1;62.21;32.94;10.79;168;47.89;48.39;موهوب
محمد العنزي;27;حارس;25;61.00;2;0;83.63;26.51;10.83;177;46.36;48.04;موهوب
تركي المالكي;20;دفاع;65;71.83;1;2;85.1;27.69;8.34;162;31.44;50.49;موهوب
ناصر القحطاني;24;وسط;94;89.18;0;1;78.35;30.51;7.58;168;15.78;53.82;موهوب
خالد الزهراني;21;هجوم;78;86.55;7;2;64.08;27.80;8.41;169;26.56;52.15;موهوب
تركي الشمري;19;هجوم;20;83.01;5;3;57.56;33.11;10.20;126;39.92;41.98;غير موهوب
خالد المالكي;21;دفاع;55;90.43;4;3;80.33;25.53;10.65;166;27.88;51.42;موهوب
سعود الرويلي;21;دفاع;11;81.49;0;2;89.95;29.54;9.40;146;18.69;43.12;غير موهوب
أحمد الغامدي;17;وسط;80;63.64;7;1;77.92;29.90;6.11;136;21.80;47.04;موهوب
تركي العتيبي;25;حارس;88;69.89;2;1;85.23;31.64;8.77;120;36.68;49.25;موهوب
فهد الحربي;23;هجوم;24;64.04;9;5;65.14;29.98;7.23;147;19.28;41.19;غير موهوب
أحمد الحربي;24;حارس;9;65.31;6;1;48.3;25.28;9.18;148;35.78;38.65;غير موهوب
ناصر الرويلي;20;دفاع;50;63.15;7;3;75.57;28.92;8.43;177;39.53;50.29;موهوب
تركي الغامدي;18;دفاع;57;70.56;4;2;48.41;31.88;11.86;132;23.46;42.35;غير موهوب
خالد الحربي;22;وسط;82;91.35;2;0;54.41;31.65;11.12;150;23.14;49.52;موهوب
سعود الزهراني;16;دفاع;29;65.38;7;4;61.27;28.93;10.76;173;24.07;44.82;غير موهوب
تركي الشمري;28;حارس;31;81.23;4;0;72.95;27.23;7.04;137;28.70;43.24;غير موهوب
عبدالله البلوي;21;وسط;26;85.55;4;4;45.22;25.87;7.65;183;33.65;46.10;موهوب
سعود الشمري;28;دفاع;35;75.32;3;2;56.02;27.92;7.77;180;24.25;45.70;موهوب
سعود البلوي;29;دفاع;34;68.92;0;0;88.96;25.51;7.51;124;23.74;41.40;غير موهوب
أحمد المالكي;25;حارس;77;79.27;0;3;84.31;31.82;9.92;143;44.72;52.56;موهوب
راكان العتيبي;25;وسط;31;70.84;0;0;52.01;30.85;7.20;130;42.29;40.47;غير موهوب
تركي الحربي;17;حارس;32;94.06;3;0;87.4;29.72;8.34;145;44.19;49.30;موهوب
راكان العتيبي;23;حارس;59;94.68;11;0;62.64;34.24;6.61;143;24.30;48.39;موهوب
سالم الرويلي;19;دفاع;61;91.89;0;1;40.77;24.37;11.18;125;47.80;44.78;غير موهوب
محمد الرويلي;24;وسط;65;60.79;1;1;81.58;24.57;6.37;135;28.27;44.84;غير موهوب
تركي الشمري;22;حارس;83;94.05;6;1;45.37;33.49;7.95;164;35.82;52.30;موهوب
خالد القحطاني;17;هجوم;49;84.35;2;2;88.12;30.74;6.94;132;15.60;45.64;موهوب
سعود الشمري;19;هجوم;60;88.80;9;0;41.04;28.53;7.64;119;17.93;41.33;غير موهوب
ناصر الغامدي;28;هجوم;24;87.85;6;1;86.16;28.68;9.09;150;13.57;45.15;موهوب
خالد القحطاني;27;وسط;65;67.53;9;1;71.02;28.22;10.15;138;19.33;45.47;موهوب
محمد البلوي;20;هجوم;33;94.81;2;1;65.39;25.43;11.02;146;14.11;43.64;غير موهوب
فهد الشمري;19;دفاع;66;78.75;6;0;45.21;25.68;8.43;139;12.04;42.35;غير موهوب
فهد الحربي;21;حارس;49;86.46;4;2;47.48;26.75;8.68;161;14.34;44.41;غير موهوب
عبدالله المالكي;24;هجوم;30;84.38;0;0;88.51;31.09;7.50;136;17.41;43.88;غير موهوب
سالم الشمري;21;وسط;73;66.98;9;5;45.28;28.94;7.87;162;27.53;47.29;موهوب
محمد العنزي;19;هجوم;85;88.14;4;1;84.72;34.28;9.21;122;17.82;49.57;موهوب
أحمد الزهراني;21;هجوم;74;84.45;0;1;66.92;34.09;7.40;161;33.48;51.37;موهوب
سعود الزهراني;23;حارس;21;67.33;6;4;84.43;33.29;9.22;167;30.80;47.01;موهوب
فهد البلوي;16;هجوم;90;81.83;0;1;50.85;24.35;8.79;141;44.78;49.18;موهوب
عبدالله العتيبي;24;وسط;68;71.04;2;3;77.88;28.11;6.97;122;36.57;46.17;موهوب
فهد البلوي;24;هجوم;72;77.78;2;1;74.35;28.41;11.10;144;9.60;46.69;موهوب
أحمد العتيبي;19;حارس;85;78.46;3;1;88.16;31.38;8.03;144;10.65;49.96;موهوب
سالم العتيبي;23;وسط;32;60.89;2;1;46.77;29.08;7.72;123;47.81;38.92;غير موهوب
أحمد القحطاني;18;دفاع;70;89.97;4;1;73.2;29.77;11.25;164;32.74;52.88;موهوب
فهد المالكي;28;وسط;21;76.25;3;4;73.04;29.91;9.35;142;43.86;44.71;غير موهوب
راكان الغامدي;20;دفاع;45;86.26;6;0;53.55;32.71;10.93;154;44.11;48.06;موهوب
عبدالله الحربي;23;دفاع;82;74.70;0;1;79.76;33.63;7.91;161;41.27;53.48;موهوب
أحمد الشمري;27;وسط;43;63.32;1;0;82.62;29.03;7.02;174;14.65;46.07;موهوب
فهد الرويلي;26;وسط;77;85.00;11;1;64.96;32.95;8.53;138;29.86;49.81;موهوب
فهد المالكي;19;وسط;28;88.47;5;0;66.15;32.87;7.29;168;32.21;47.55;موهوب
فهد الرويلي;21;حارس;52;78.20;4;2;87.68;32.01;7.30;129;27.09;46.59;موهوب
سالم الشمري;18;وسط;44;82.10;9;2;65.32;28.99;10.26;137;28.00;45.18;موهوب
محمد الزهراني;17;هجوم;60;88.75;4;4;66.77;33.49;8.20;156;46.19;51.93;موهوب
أحمد الزهراني;27;حارس;20;73.40;4;5;51.25;27.90;9.79;126;13.36;36.74;غير موهوب
راكان العنزي;17;وسط;50;62.17;7;0;40.88;28.10;8.62;127;48.34;41.35;غير موهوب
خالد البلوي;21;دفاع;31;61.18;5;0;42.01;28.55;8.12;132;11.32;35.46;غير موهوب
سعود الزهراني;25;دفاع;43;71.77;9;6;48.77;24.45;11.22;131;48.36;43.73;غير موهوب
أحمد العتيبي;19;وسط;28;85.00;3;0;88.99;30.31;7.82;144;46.82;48.22;موهوب
خالد الزهراني;24;وسط;70;66.05;1;0;58.4;32.00;9.95;131;34.80;44.80;غير موهوب
عبدالله العتيبي;21;دفاع;59;74.30;6;0;61.84;32.02;6.57;152;23.30;46.11;موهوب
سالم الزهراني;18;حارس;31;79.22;4;0;87.14;26.73;8.59;138;38.11;45.87;موهوب
ناصر المالكي;24;هجوم;78;92.85;4;1;43.94;32.44;8.74;168;26.05;50.56;موهوب
محمد الغامدي;27;وسط;22;69.48;5;0;79.22;33.07;7.05;138;28.66;42.50;غير موهوب
عبدالله الشمري;22;دفاع;37;68.40;8;2;81.71;29.03;9.48;121;28.25;42.76;غير موهوب
سالم الغامدي;23;وسط;83;86.98;4;4;63.27;30.32;6.30;120;18.78;46.29;موهوب
تركي الزهراني;21;هجوم;47;93.43;2;0;60.99;24.54;6.66;130;12.96;41.95;غير موهوب
ناصر الشمري;17;وسط;28;94.62;7;3;44.58;26.77;7.08;122;41.38;41.60;غير موهوب
أحمد الرويلي;22;حارس;13;86.70;2;5;85.79;23.82;7.62;143;24.90;43.54;غير موهوب
تركي البلوي;16;هجوم;65;90.28;8;2;41.02;30.03;9.92;123;35.22;44.94;غير موهوب
خالد المالكي;16;حارس;56;75.56;5;6;82.86;25.23;8.26;171;18.47;49.82;موهوب
محمد الشمري;26;حارس;32;62.67;6;2;54.78;32.37;9.12;178;42.12;46.56;موهوب
خالد الشمري;15;حارس;78;86.81;6;1;85.79;31.56;9.84;136;33.83;52.09;موهوب
سعود القحطاني;18;هجوم;20;90.06;0;0;49.16;25.37;6.76;149;26.16;40.72;غير موهوب
أحمد القحطاني;17;دفاع;44;60.57;2;2;42.16;25.08;10.63;162;36.25;42.74;غير موهوب
عبدالله الرويلي;21;هجوم;54;82.65;6;1;62.12;24.85;7.97;168;17.27;47.10;موهوب
أحمد المالكي;27;هجوم;76;79.33;2;0;63.34;29.77;8.44;130;30.16;46.56;موهوب
خالد القحطاني;21;هجوم;77;77.83;6;3;55.69;32.05;8.21;133;34.54;47.48;موهوب
فهد الحربي;19;حارس;11;93.27;9;4;80.42;29.69;7.69;151;23.45;45.50;موهوب
خالد الرويلي;18;وسط;28;64.01;7;0;45.04;27.34;10.86;125;14.35;35.73;غير موهوب
خالد الشمري;20;حارس;7;75.73;6;2;66.87;24.11;10.56;136;15.79;38.23;غير موهوب
عبدالله الشمري;18;هجوم;66;88.11;4;5;87.06;24.90;9.64;137;45.01;51.86;موهوب
فهد المالكي;18;وسط;37;67.03;0;1;58.85;24.91;10.09;140;8.78;38.63;غير موهوب
ناصر الحربي;24;هجوم;54;83.57;10;3;64.27;33.11;10.83;135;13.22;45.22;موهوب
تركي العتيبي;23;هجوم;87;74.23;3;3;57.38;28.57;10.24;143;25.33;47.97;موهوب
راكان الغامدي;29;دفاع;44;81.78;5;0;55.76;27.30;9.30;171;35.01;47.68;موهوب
فهد الرويلي;25;حارس;90;65.43;7;1;62.44;30.77;7.17;173;22.57;51.04;موهوب
أحمد الحربي;30;حارس;31;71.91;5;2;71.61;25.04;7.48;162;41.77;46.42;موهوب
فهد الرويلي;17;وسط;79;85.24;9;0;41.64;32.82;8.12;169;40.11;51.66;موهوب
فهد العنزي;24;هجوم;39;67.22;9;3;66.51;30.21;8.34;126;48.88;44.24;غير موهوب
فهد الرويلي;23;وسط;52;88.85;2;2;54.5;31.08;11.67;149;43.43;48.28;موهوب
عبدالله الشمري;17;دفاع;47;89.58;6;0;88.19;25.30;9.93;161;39.33;51.81;موهوب
راكان الغامدي;20;وسط;29;93.78;7;1;53.16;34.40;9.46;122;29.03;42.09;غير موهوب
سعود البلوي;18;دفاع;62;76.84;3;1;67.47;25.06;5.63;154;37.82;48.09;موهوب
فهد الرويلي;27;هجوم;48;71.28;3;1;88.85;23.78;11.83;141;36.97;47.30;موهوب
تركي القحطاني;21;حارس;38;65.78;1;1;79.92;27.26;9.09;167;40.60;47.74;موهوب
ناصر الزهراني;26;وسط;70;70.08;8;3;81.94;26.34;6.54;128;38.63;48.06;موهوب
تركي الغامدي;16;دفاع;56;90.15;6;4;55.34;27.88;11.09;132;29.30;45.75;موهوب
محمد الشمري;17;وسط;16;77.81;6;3;88.91;32.52;10.46;176;12.20;46.99;موهوب
سعود العتيبي;17;حارس;72;73.53;2;0;61.91;33.94;8.62;144;24.42;46.71;موهوب
محمد الرويلي;29;هجوم;26;93.83;7;3;68.39;26.64;8.44;142;20.19;43.94;غير موهوب
محمد القحطاني;21;هجوم;68;89.45;1;0;41.35;29.86;10.90;159;23.76;47.03;موهوب
محمد العنزي;27;دفاع;45;70.50;10;4;51.4;24.17;7.09;157;14.53;42.63;غير موهوب
محمد المالكي;21;دفاع;19;82.62;5;2;72.76;26.05;6.34;151;26.66;43.49;غير موهوب
خالد الحربي;20;وسط;82;92.76;7;1;45.04;31.98;6.12;147;24.92;48.65;موهوب
عبدالله العتيبي;24;وسط;74;85.24;1;2;86.65;27.60;6.72;164;18.45;51.74;موهوب
راكان العنزي;28;دفاع;11;72.55;10;1;53.57;28.92;9.29;150;34.89;41.25;غير موهوب
سالم القحطاني;27;دفاع;28;60.78;5;1;72.73;32.17;10.18;144;39.59;43.72;غير موهوب
تركي العنزي;27;هجوم;70;86.34;0;0;70.09;32.62;9.80;129;15.41;45.92;موهوب
سالم الحربي;25;هجوم;69;90.78;7;0;65.87;30.32;8.40;177;23.87;52.47;موهوب
أحمد المالكي;19;وسط;50;76.17;3;1;48.35;29.63;9.76;157;22.37;44.14;غير موهوب
راكان الشمري;20;وسط;43;69.26;2;1;74.74;29.96;9.81;137;43.19;45.55;موهوب
عبدالله الزهراني;15;وسط;73;64.29;9;0;50.53;26.22;9.67;174;11.87;46.51;موهوب
فهد الشمري;20;وسط;60;83.28;7;1;64.65;25.26;7.82;141;40.87;47.88;موهوب
سالم المالكي;28;وسط;56;86.16;3;1;75.59;25.81;8.99;140;14.64;45.69;موهوب
سعود الرويلي;18;دفاع;39;72.92;5;0;78.65;25.10;10.17;140;8.87;42.19;غير موهوب
تركي الحربي;22;هجوم;54;78.83;7;3;40.49;29.37;8.95;144;41.64;45.25;موهوب
عبدالله القحطاني;22;هجوم;30;87.78;0;0;78.76;29.35;9.18;132;8.29;41.71;غير موهوب
سعود العتيبي;17;هجوم;42;72.29;6;2;70.88;30.60;7.91;135;21.79;43.16;غير موهوب
فهد الحربي;22;هجوم;14;64.87;0;0;56.29;31.84;11.53;162;36.20;41.86;غير موهوب
أحمد الشمري;29;وسط;22;74.53;0;2;55.09;26.53;9.25;135;15.97;37.82;غير موهوب
عبدالله الشمري;28;دفاع;15;92.45;4;3;58.54;30.39;9.83;173;27.11;45.92;موهوب
فهد الرويلي;19;دفاع;41;83.27;3;0;67.36;32.89;10.72;125;36.96;44.47;غير موهوب
سالم العتيبي;26;حارس;48;90.61;7;1;54.13;28.94;7.42;131;18.82;42.99;غير موهوب
محمد الرويلي;28;دفاع;94;88.43;7;2;75.66;26.99;11.13;173;24.49;55.86;موهوب
تركي الغامدي;18;وسط;59;89.70;9;6;67.38;26.92;9.75;132;20.94;46.74;موهوب
أحمد الرويلي;22;هجوم;63;69.34;0;1;72.16;27.85;10.25;163;14.34;46.77;موهوب
أحمد الزهراني;25;دفاع;67;84.94;4;0;76.22;33.86;9.46;160;42.28;53.08;موهوب
تركي الغامدي;29;حارس;86;87.36;1;0;53.72;30.46;8.24;178;27.59;52.49;موهوب
عبدالله الرويلي;19;وسط;81;72.03;5;1;85.68;25.66;7.93;124;13.14;46.16;موهوب
سعود الرويلي;27;دفاع;36;83.18;0;1;75.79;26.55;7.80;157;32.38;46.63;موهوب
راكان الغامدي;26;حارس;21;72.68;2;3;56.45;32.64;10.42;124;24.06;38.47;غير موهوب
تركي الزهراني;17;دفاع;63;64.90;1;2;77.78;27.17;8.67;139;31.38;46.10;موهوب
راكان المالكي;20;وسط;57;94.67;5;5;58.14;29.65;11.71;179;37.05;53.02;موهوب
تركي الشمري;17;هجوم;74;92.38;3;3;48.12;25.29;8.85;145;22.57;46.91;موهوب
سعود الحربي;16;هجوم;26;73.53;0;1;75.06;27.11;6.07;123;45.44;41.91;غير موهوب
سعود المالكي;23;هجوم;76;72.36;6;1;64.16;27.74;10.80;160;9.74;47.53;موهوب
ناصر الرويلي;17;دفاع;89;87.73;10;0;79.18;31.92;9.46;133;21.64;51.32;موهوب
محمد القحطاني;21;وسط;10;91.53;4;1;70.54;26.49;10.60;174;44.30;48.05;موهوب
أحمد البلوي;16;هجوم;57;93.37;4;4;41.96;33.70;11.55;171;42.08;50.96;موهوب
خالد الشمري;20;دفاع;33;60.99;4;1;83.57;28.99;11.42;136;22.61;42.40;غير موهوب
خالد المالكي;26;هجوم;64;92.80;6;0;61.39;32.29;8.00;143;45.89;50.37;موهوب
فهد البلوي;17;وسط;33;79.98;3;0;52.91;29.67;9.68;134;22.03;40.47;غير موهوب
فهد العتيبي;23;وسط;75;78.92;11;5;40.9;32.91;7.07;129;23.65;44.83;غير موهوب
أحمد المالكي;25;هجوم;85;94.63;3;0;66.12;32.87;8.99;117;14.33;46.88;موهوب
أحمد البلوي;25;حارس;59;86.28;10;5;60.9;28.47;7.40;148;41.83;49.65;موهوب
عبدالله الغامدي;26;وسط;43;68.84;4;5;49.44;24.30;9.43;145;40.58;43.29;غير موهوب
أحمد الرويلي;18;دفاع;47;94.78;9;2;77.64;33.64;7.91;154;42.73;52.08;موهوب
فهد المالكي;22;وسط;36;76.07;11;2;87.89;31.42;9.22;149;27.63;47.80;موهوب
محمد الحربي;28;حارس;45;82.03;1;0;81.04;28.70;9.29;179;24.75;50.09;موهوب
عبدالله الزهراني;19;دفاع;63;88.87;3;6;89.81;25.21;8.96;135;10.48;47.81;موهوب
خالد الشمري;18;حارس;82;81.00;2;2;77.34;24.39;8.87;126;24.90;47.61;موهوب
راكان العنزي;23;وسط;93;86.95;9;2;81.09;31.78;5.84;131;27.61;52.03;موهوب
عبدالله الشمري;26;وسط;15;65.06;1;0;84.64;24.55;6.54;133;33.19;40.33;غير موهوب
